,Team,Result,For,Aga,Diff,Tries,Conv,Pens,Drop,Opposition,Ground,Match Date
3,Ireland,won,38.0,3.0,35.0,4.0,3.0,4.0,0.0,v South Africa,Lansdowne Road,11 Nov 2017
4,Ireland,won,35.0,13.0,22.0,5.0,5.0,0.0,0.0,v Japan,Tokyo,24 Jun 2017
5,Ireland,won,50.0,22.0,28.0,7.0,6.0,1.0,0.0,v Japan,Shizuoka,17 Jun 2017
6,Ireland,won,55.0,19.0,36.0,9.0,5.0,0.0,0.0,v USA,Harrison,10 Jun 2017
7,Ireland,won,13.0,9.0,4.0,1.0,1.0,2.0,0.0,v England,Lansdowne Road,18 Mar 2017
8,Ireland,lost,9.0,22.0,-13.0,0.0,0.0,3.0,0.0,v Wales,Millennium Stadium,10 Mar 2017
9,Ireland,won,19.0,9.0,10.0,1.0,1.0,3.0,1.0,v France,Lansdowne Road,25 Feb 2017
10,Ireland,won,63.0,10.0,53.0,9.0,9.0,0.0,0.0,v Italy,Rome,11 Feb 2017
11,Ireland,lost,22.0,27.0,-5.0,3.0,2.0,1.0,0.0,v Scotland,Murrayfield,4 Feb 2017
12,Ireland,won,27.0,24.0,3.0,3.0,3.0,2.0,0.0,v Australia,Lansdowne Road,26 Nov 2016
13,Ireland,lost,9.0,21.0,-12.0,0.0,0.0,3.0,0.0,v New Zealand,Lansdowne Road,19 Nov 2016
14,Ireland,won,52.0,21.0,31.0,8.0,6.0,0.0,0.0,v Canada,Lansdowne Road,12 Nov 2016
15,Ireland,won,40.0,29.0,11.0,5.0,3.0,3.0,0.0,v New Zealand,Chicago,5 Nov 2016
16,Ireland,lost,13.0,19.0,-6.0,1.0,1.0,2.0,0.0,v South Africa,Port Elizabeth,25 Jun 2016
17,Ireland,lost,26.0,32.0,-6.0,2.0,2.0,4.0,0.0,v South Africa,Johannesburg,18 Jun 2016
18,Ireland,won,26.0,20.0,6.0,2.0,2.0,3.0,1.0,v South Africa,Cape Town,11 Jun 2016
19,Ireland,won,35.0,25.0,10.0,4.0,3.0,3.0,0.0,v Scotland,Lansdowne Road,19 Mar 2016
20,Ireland,won,58.0,15.0,43.0,9.0,5.0,1.0,0.0,v Italy,Lansdowne Road,12 Mar 2016
21,Ireland,lost,10.0,21.0,-11.0,1.0,1.0,1.0,0.0,v England,Twickenham,27 Feb 2016
22,Ireland,lost,9.0,10.0,-1.0,0.0,0.0,3.0,0.0,v France,Stade de France,13 Feb 2016
23,Ireland,draw,16.0,16.0,0.0,1.0,1.0,3.0,0.0,v Wales,Lansdowne Road,7 Feb 2016
24,Ireland,lost,20.0,43.0,-23.0,2.0,2.0,2.0,0.0,v Argentina,Millennium Stadium,18 Oct 2015
25,Ireland,won,24.0,9.0,15.0,2.0,1.0,4.0,0.0,v France,Millennium Stadium,11 Oct 2015
26,Ireland,won,16.0,9.0,7.0,1.0,1.0,3.0,0.0,v Italy,London,4 Oct 2015
27,Ireland,won,44.0,10.0,34.0,6.0,4.0,2.0,0.0,v Romania,Wembley,27 Sep 2015
28,Ireland,won,50.0,7.0,43.0,7.0,6.0,1.0,0.0,v Canada,Millennium Stadium,19 Sep 2015
29,Ireland,lost,13.0,21.0,-8.0,1.0,1.0,2.0,0.0,v England,Twickenham,5 Sep 2015
30,Ireland,lost,10.0,16.0,-6.0,1.0,1.0,1.0,0.0,v Wales,Lansdowne Road,29 Aug 2015
31,Ireland,won,28.0,22.0,6.0,4.0,4.0,0.0,0.0,v Scotland,Lansdowne Road,15 Aug 2015
32,Ireland,won,35.0,21.0,14.0,5.0,2.0,2.0,0.0,v Wales,Millennium Stadium,8 Aug 2015
33,Ireland,won,40.0,10.0,30.0,4.0,4.0,4.0,0.0,v Scotland,Murrayfield,21 Mar 2015
34,Ireland,lost,16.0,23.0,-7.0,1.0,1.0,3.0,0.0,v Wales,Millennium Stadium,14 Mar 2015
35,Ireland,won,19.0,9.0,10.0,1.0,1.0,4.0,0.0,v England,Lansdowne Road,1 Mar 2015
36,Ireland,won,18.0,11.0,7.0,0.0,0.0,6.0,0.0,v France,Lansdowne Road,14 Feb 2015
37,Ireland,won,26.0,3.0,23.0,2.0,2.0,4.0,0.0,v Italy,Rome,7 Feb 2015
38,Ireland,won,26.0,23.0,3.0,2.0,2.0,4.0,0.0,v Australia,Lansdowne Road,22 Nov 2014
39,Ireland,won,49.0,7.0,42.0,6.0,5.0,3.0,0.0,v Georgia,Lansdowne Road,16 Nov 2014
40,Ireland,won,29.0,15.0,14.0,2.0,2.0,5.0,0.0,v South Africa,Lansdowne Road,8 Nov 2014
41,Ireland,won,23.0,17.0,6.0,2.0,2.0,3.0,0.0,v Argentina,Tucuman,14 Jun 2014
42,Ireland,won,29.0,17.0,12.0,3.0,1.0,4.0,0.0,v Argentina,Resistencia,7 Jun 2014
43,Ireland,won,22.0,20.0,2.0,3.0,2.0,1.0,0.0,v France,Stade de France,15 Mar 2014
44,Ireland,won,46.0,7.0,39.0,7.0,4.0,1.0,0.0,v Italy,Lansdowne Road,8 Mar 2014
45,Ireland,lost,10.0,13.0,-3.0,1.0,1.0,1.0,0.0,v England,Twickenham,22 Feb 2014
46,Ireland,won,26.0,3.0,23.0,2.0,2.0,4.0,0.0,v Wales,Lansdowne Road,8 Feb 2014
47,Ireland,won,28.0,6.0,22.0,3.0,2.0,3.0,0.0,v Scotland,Lansdowne Road,2 Feb 2014
0,Wales,won,34.0,7.0,27.0,4.0,4.0,2.0,0.0,v Scotland,Millennium Stadium,3 Feb 2018
1,Wales,won,24.0,22.0,2.0,3.0,3.0,1.0,0.0,v South Africa,Millennium Stadium,2 Dec 2017
2,Wales,lost,18.0,33.0,-15.0,2.0,1.0,2.0,0.0,v New Zealand,Millennium Stadium,25 Nov 2017
3,Wales,won,13.0,6.0,7.0,1.0,1.0,2.0,0.0,v Georgia,Millennium Stadium,18 Nov 2017
4,Wales,lost,21.0,29.0,-8.0,2.0,1.0,3.0,0.0,v Australia,Millennium Stadium,11 Nov 2017
5,Wales,won,19.0,17.0,2.0,2.0,0.0,3.0,0.0,v Samoa,Apia,23 Jun 2017
6,Wales,won,24.0,6.0,18.0,2.0,0.0,4.0,0.0,v Tonga,Auckland,16 Jun 2017
7,Wales,lost,18.0,20.0,-2.0,0.0,0.0,6.0,0.0,v France,Stade de France,18 Mar 2017
8,Wales,won,22.0,9.0,13.0,3.0,2.0,1.0,0.0,v Ireland,Millennium Stadium,10 Mar 2017
9,Wales,lost,13.0,29.0,-16.0,1.0,1.0,2.0,0.0,v Scotland,Murrayfield,25 Feb 2017
10,Wales,lost,16.0,21.0,-5.0,1.0,1.0,3.0,0.0,v England,Millennium Stadium,11 Feb 2017
11,Wales,won,33.0,7.0,26.0,3.0,3.0,4.0,0.0,v Italy,Rome,5 Feb 2017
12,Wales,won,27.0,13.0,14.0,2.0,1.0,5.0,0.0,v South Africa,Millennium Stadium,26 Nov 2016
13,Wales,won,33.0,30.0,3.0,3.0,3.0,3.0,1.0,v Japan,Millennium Stadium,19 Nov 2016
14,Wales,won,24.0,20.0,4.0,2.0,1.0,4.0,0.0,v Argentina,Millennium Stadium,12 Nov 2016
15,Wales,lost,8.0,32.0,-24.0,1.0,0.0,1.0,0.0,v Australia,Millennium Stadium,5 Nov 2016
16,Wales,lost,6.0,46.0,-40.0,0.0,0.0,2.0,0.0,v New Zealand,Dunedin,25 Jun 2016
17,Wales,lost,22.0,36.0,-14.0,3.0,2.0,1.0,0.0,v New Zealand,Wellington,18 Jun 2016
18,Wales,lost,21.0,39.0,-18.0,2.0,1.0,3.0,0.0,v New Zealand,Auckland,11 Jun 2016
19,Wales,lost,13.0,27.0,-14.0,1.0,1.0,2.0,0.0,v England,Twickenham,29 May 2016
